d1,hosp_first_dose_after_14_days,hosp_first_dose_within_14_days,hosp_second_dose_after_14_days,hosp_second_dose_within_14_days,hosp_third_dose_after_14_days,hosp_third_dose_within_14_days,hosp_unvaccinated,icu_second_dose_after_14_days,icu_third_dose_after_14_days,icu_third_dose_within_14_days,icu_unvaccinated,vax_dose_1,vax_dose_2,vax_dose_3,vax_dose_4,hosp_0,hosp_1,hosp_2,hosp_3,icu_0,icu_1,icu_2,icu_3,vax_1_acc,vax_2_acc,vax_3_acc,vax_4_acc,vax_just_1,vax_just_2,vax_just_34,vax_just_0,risk_vax_hosp_0,risk_vax_hosp_1,risk_vax_hosp_2,risk_vax_hosp_3,risk_vax_icu_0,risk_vax_icu_1,risk_vax_icu_2,risk_vax_icu_3,eff_hosp_1,eff_hosp_2,eff_hosp_3,eff_icu_1,eff_icu_2,eff_icu_3,one
2020-12-14,,,,,,,,,,,,3,0,0,0,,,,,,0,,,3,0,0,0,3,0,0,4420036,,,,,,0.0,,,,,,,,,1
2020-12-15,,,,,,,,,,,,21,0,0,0,,,,,,0,,,24,0,0,0,24,0,0,4420015,,,,,,0.0,,,,,,,,,1
2020-12-16,,,,,,,,,,,,380,0,0,0,,,,,,0,,,404,0,0,0,404,0,0,4419635,,,,,,0.0,,,,,,,,,1
2020-12-17,,,,,,,,,,,,482,0,0,0,,,,,,0,,,886,0,0,0,886,0,0,4419153,,,,,,0.0,,,,,,,,,1
2020-12-18,,,,,,,,,,,,922,0,0,0,,,,,,0,,,1808,0,0,0,1808,0,0,4418231,,,,,,0.0,,,,,,,,,1
2020-12-19,,,,,,,,,,,,433,0,0,0,,,,,,0,,,2241,0,0,0,2241,0,0,4417798,,,,,,0.0,,,,,,,,,1
2020-12-20,,,,,,,,,,,,498,0,0,0,,,,,,0,,,2739,0,0,0,2739,0,0,4417300,,,,,,0.0,,,,,,,,,1
2020-12-21,,,,,,,,,,,,417,0,0,0,,,,,,0,,,3156,0,0,0,3156,0,0,4416883,,,,,,0.0,,,,,,,,,1
2020-12-22,,,,,,,,,,,,583,0,0,0,,,,,,0,,,3739,0,0,0,3739,0,0,4416300,,,,,,0.0,,,,,,,,,1
2020-12-23,,,,,,,,,,,,1110,0,0,0,,,,,,0,,,4849,0,0,0,4849,0,0,4415190,,,,,,0.0,,,,,,,,,1
2020-12-24,,,,,,,,,,,,739,0,0,0,,,,,,0,,,5588,0,0,0,5588,0,0,4414451,,,,,,0.0,,,,,,,,,1
2020-12-25,,,,,,,,,,,,1,0,0,0,,,,,,0,,,5589,0,0,0,5589,0,0,4414450,,,,,,0.0,,,,,,,,,1
2020-12-26,,,,,,,,,,,,296,0,0,0,,,,,,0,,,5885,0,0,0,5885,0,0,4414154,,,,,,0.0,,,,,,,,,1
2020-12-27,,,,,,,,,,,,294,0,0,0,,,,,,0,,,6179,0,0,0,6179,0,0,4413860,,,,,,0.0,,,,,,,,,1
2020-12-28,,,,,,,,,,,,514,0,0,0,,,,,,0,,,6693,0,0,0,6693,0,0,4413346,,,,,,0.0,,,,,,,,,1
2020-12-29,,,,,,,,,,,,2069,0,0,0,,,,,,0,,,8762,0,0,0,8762,0,0,4411277,,,,,,0.0,,,,,,,,,1
2020-12-30,,,,,,,,,,,,2764,0,0,0,,,,,,0,,,11526,0,0,0,11526,0,0,4408513,,,,,,0.0,,,,,,,,,1
2020-12-31,,,,,,,,,,,,3682,0,0,0,,,,,,0,,,15208,0,0,0,15208,0,0,4404831,,,,,,0.0,,,,,,,,,1
2021-01-01,0.0,1.0,0.0,0.0,0.0,0.0,730.0,0.0,0.0,0.0,146.0,1990,0,0,0,730.0,1.0,0.0,0.0,146.0,0,0.0,0.0,17198,0,0,0,17198,0,0,4402841,0.016580203554931918,0.005814629608093964,,,0.003316040710986383,0.0,,,0.35069711833328815,,,0.0,,,1
2021-01-02,0.0,3.0,0.0,0.0,0.0,0.0,745.0,0.0,0.0,0.0,141.0,3238,0,0,0,745.0,3.0,0.0,0.0,141.0,0,0.0,0.0,20436,0,0,0,20436,0,0,4399603,0.016933346031448745,0.01467997651203758,,,0.0032048346180325814,0.0,,,0.8669270966750346,,,0.0,,,1
2021-01-03,1.0,3.0,0.0,0.0,0.0,0.0,748.0,0.0,0.0,0.0,138.0,3315,0,0,0,748.0,4.0,0.0,0.0,138.0,0,0.0,0.0,23751,0,0,0,23751,0,0,4396288,0.01701435392767717,0.01684139615174098,,,0.0031390118208816163,0.0,,,0.9898345963254683,,,0.0,,,1
2021-01-04,1.0,3.0,0.0,0.0,0.0,0.0,758.0,0.0,0.0,0.0,140.0,3466,4,0,0,758.0,4.0,0.0,0.0,140.0,0,0.0,0.0,27217,4,0,0,27213,4,0,4392822,0.017255422596226297,0.014698857163855508,0.0,,0.0031870173660576272,0.0,0.0,,0.8518398829055684,0.0,,0.0,0.0,,1
2021-01-05,1.0,2.0,0.0,0.0,0.0,0.0,736.0,0.0,0.0,0.0,141.0,4458,3,0,0,736.0,3.0,0.0,0.0,141.0,0,0.0,0.0,31675,7,0,0,31668,7,0,4388364,0.016771626054721076,0.009473285335354301,0.0,,0.00321304249146151,0.0,0.0,,0.5648400044483253,0.0,,0.0,0.0,,1
2021-01-06,1.0,4.0,0.0,0.0,0.0,0.0,703.0,0.0,0.0,0.0,139.0,4559,170,0,0,703.0,5.0,0.0,0.0,139.0,0,0.0,0.0,36234,177,0,0,36057,177,0,4383805,0.016036297234936315,0.013866932911778571,0.0,,0.0031707614731950897,0.0,0.0,,0.8647216192506325,0.0,,0.0,0.0,,1
2021-01-07,1.0,4.0,0.0,0.0,0.0,0.0,675.0,0.0,0.0,0.0,138.0,3836,196,0,0,675.0,5.0,0.0,0.0,138.0,0,0.0,0.0,40070,373,0,0,39697,373,0,4379969,0.015411067977878383,0.012595410232511272,0.0,,0.003150707231032914,0.0,0.0,,0.8172963905286246,0.0,,0.0,0.0,,1
2021-01-08,1.0,6.0,0.0,0.0,0.0,0.0,657.0,0.0,0.0,0.0,134.0,4193,386,0,0,657.0,7.0,0.0,0.0,134.0,0,0.0,0.0,44263,759,0,0,43504,759,0,4375776,0.015014479717426121,0.016090474439132033,0.0,,0.0030623139758525113,0.0,0.0,,1.0716638033389256,0.0,,0.0,0.0,,1
2021-01-09,1.0,7.0,0.0,0.0,0.0,0.0,633.0,0.0,0.0,0.0,131.0,2054,13,0,0,633.0,8.0,0.0,0.0,131.0,0,0.0,0.0,46317,772,0,0,45545,772,0,4373722,0.014472799139954483,0.01756504555933692,0.0,,0.0029951606434976893,0.0,0.0,,1.213659181577791,0.0,,0.0,0.0,,1
2021-01-10,1.0,7.0,0.0,0.0,0.0,0.0,650.0,0.0,0.0,0.0,135.0,1934,5,0,0,650.0,8.0,0.0,0.0,135.0,0,0.0,0.0,48251,777,0,0,47474,777,0,4371788,0.014868058560936625,0.016851329148586596,0.0,,0.0030879813934252985,0.0,0.0,,1.1333913623975553,0.0,,0.0,0.0,,1
2021-01-11,1.0,11.0,0.0,0.0,0.0,0.0,654.0,0.0,0.0,0.0,132.0,5155,609,0,0,654.0,12.0,0.0,0.0,132.0,0,0.0,0.0,53406,1386,0,0,52020,1386,0,4366633,0.014977214709823336,0.02306805074971165,0.0,,0.0030229240698725996,0.0,0.0,,1.5402096582471807,0.0,,0.0,0.0,,1
