date,hosp_First dose after 14 days,hosp_First dose within 14 days,hosp_Second dose after 14 days,hosp_Second dose within 14 days,hosp_Third dose after 14 days,hosp_Third dose within 14 days,hosp_Unvaccinated,icu_Second dose after 14 days,icu_Third dose after 14 days,icu_Third dose within 14 days,vax_dose 1,vax_dose 2,vax_dose 3,vax_dose 4,cum_sum_1,cum_sum_2,cum_sum_3,cum_sum_4
2021-01-01,0,1,0,0,0,0,730,0,0,0,1990,0,0,0,17198,0,0,0
2021-01-02,0,3,0,0,0,0,745,0,0,0,3238,0,0,0,20436,0,0,0
2021-01-03,1,3,0,0,0,0,748,0,0,0,3315,0,0,0,23751,0,0,0
2021-01-04,1,3,0,0,0,0,758,0,0,0,3466,4,0,0,27217,4,0,0
2021-01-05,1,2,0,0,0,0,736,0,0,0,4458,3,0,0,31675,7,0,0
2021-01-06,1,4,0,0,0,0,703,0,0,0,4559,170,0,0,36234,177,0,0
2021-01-07,1,4,0,0,0,0,675,0,0,0,3836,196,0,0,40070,373,0,0
2021-01-08,1,6,0,0,0,0,657,0,0,0,4193,386,0,0,44263,759,0,0
2021-01-09,1,7,0,0,0,0,633,0,0,0,2054,13,0,0,46317,772,0,0
2021-01-10,1,7,0,0,0,0,650,0,0,0,1934,5,0,0,48251,777,0,0
2021-01-11,1,11,0,0,0,0,654,0,0,0,5155,609,0,0,53406,1386,0,0
2021-01-12,1,10,0,0,0,0,644,0,0,0,4892,513,0,0,58298,1899,0,0
2021-01-13,1,10,0,0,0,0,622,0,0,0,7892,853,0,0,66190,2752,0,0
2021-01-14,2,10,0,0,0,0,627,0,0,0,6417,758,0,0,72607,3510,0,0
2021-01-15,2,9,0,0,0,0,607,0,0,0,7006,623,0,0,79613,4133,0,0
2021-01-16,2,12,0,0,0,0,582,0,0,0,4862,52,0,0,84475,4185,0,0
2021-01-17,3,16,0,0,0,0,579,0,0,0,3836,81,0,0,88311,4266,0,0
2021-01-18,4,17,0,0,0,0,582,0,0,0,1339,1025,0,0,89650,5291,0,0
2021-01-19,4,23,0,0,0,0,575,0,0,0,1867,1119,0,0,91517,6410,0,0
2021-01-20,5,27,0,0,0,0,549,0,0,0,458,1020,0,0,91975,7430,0,0
2021-01-21,5,27,0,0,0,0,523,0,0,0,276,1052,0,0,92251,8482,0,0
2021-01-22,5,23,0,0,0,0,506,0,0,0,193,982,0,0,92444,9464,0,0
2021-01-23,5,19,0,0,0,0,480,0,0,0,101,199,0,0,92545,9663,0,0
2021-01-24,5,20,0,0,0,0,463,0,0,0,40,413,0,0,92585,10076,0,0
